player_type,trait,polarity,generic_component,specific_component,total_effect_without_context,notes
pitcher,Gets Ahead,positive,1.2139,1.0321,2.2459,
hitter,High Pitch,positive,0.9657,0.0,0.9657,
hitter,Injury Prone,negative,-1.7518,0.0,-1.7518,
pitcher,Injury Prone,negative,-1.1653,0.0,-1.1653,
hitter,Inside Pitch,positive,0.9657,0.0,0.9657,
pitcher,K Collector,positive,1.2139,0.9087,2.1226,
hitter,K Neglecter,negative,-1.7518,0.0,-1.7518,
pitcher,K Neglecter,negative,-1.1653,0.0,-1.1653,
hitter,Little Hack,positive,0.9657,-1.2708,-0.3051,
hitter,Low Pitch,positive,0.9657,0.0,0.9657,
hitter,Magic Hands,positive,0.9657,-0.831,0.1346,
hitter,Meltdown,negative,-1.7518,0.0,-1.7518,
pitcher,Meltdown,negative,-1.1653,0.0,-1.1653,
hitter,Metal Head,positive,0.9657,0.0,0.9657,
hitter,Mind Gamer,positive,0.9657,1.5014,2.4671,
hitter,Noodle Arm,negative,-1.7518,0.0,-1.7518,
pitcher,Noodle Arm,negative,-1.1653,0.0,-1.1653,
hitter,Off-Speed Hitter,positive,0.9657,0.0,0.9657,
hitter,Outside Pitch,positive,0.9657,0.0,0.9657,
hitter,POW vs LHP,positive,0.9657,0.0,0.9657,
hitter,POW vs RHP,positive,0.9657,0.0,0.9657,
pitcher,Pick Officer,positive,1.2139,0.0,1.2139,
hitter,Pinch Perfect,positive,0.9657,0.0,0.9657,
hitter,RBI Hero,positive,0.9657,0.0,0.9657,
hitter,RBI Zero,negative,-1.7518,0.0,-1.7518,
pitcher,RBI Zero,negative,-1.1653,0.0,-1.1653,
hitter,Rally Starter,positive,0.9657,-0.1999,0.7658,
pitcher,Rally Stopper,positive,1.2139,-1.1328,0.081,
pitcher,Reverse Splits,positive,1.2139,0.0,1.2139,
hitter,Sign Stealer,positive,0.9657,0.0,0.9657,
hitter,Slow Poke,negative,-1.7518,0.0,-1.7518,
pitcher,Slow Poke,negative,-1.1653,0.0,-1.1653,
pitcher,Specialist,positive,1.2139,2.1541,3.3679,
hitter,Sprinter,positive,0.9657,-0.2817,0.684,
hitter,Stealer,positive,0.9657,0.0,0.9657,
pitcher,Stimulated,positive,1.2139,0.0,1.2139,
hitter,Surrounded,negative,-1.7518,0.0,-1.7518,
pitcher,Surrounded,negative,-1.1653,0.0,-1.1653,
hitter,Tough Out,positive,0.9657,0.0,0.9657,
hitter,Two Way,positive,0.9657,0.0,0.9657,
hitter,Utility,positive,0.9657,-0.3052,0.6605,Total hitter value is 0.6605 + 0.1909 * secondary_versatility; see report.
hitter,Volatile,negative,-1.7518,0.0,-1.7518,
pitcher,Volatile,negative,-1.1653,1.6516,0.4863,
hitter,Whiffer,negative,-1.7518,-0.7382,-2.4899,
pitcher,Whiffer,negative,-1.1653,0.0,-1.1653,
hitter,Wild Thing,negative,-1.7518,0.0,-1.7518,
pitcher,Wild Thing,negative,-1.1653,0.0,-1.1653,
hitter,Wild Thrower,negative,-1.7518,0.0,-1.7518,
pitcher,Wild Thrower,negative,-1.1653,0.0,-1.1653,
